CodigoSAP,Contenido,producto,Minimo,Maximo
40000047,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
40004602,Cultura,Cultura - Conversatorio,15,30
42002697,Educacion,Alimentacion Consciente,14,20
42003015,Escuela Empresarial,Destrezas para el trabajo,15,25
42003379,Educacion,Ingles general,1,N/A
40004106,Escuela Empresarial,Conferencia desarrollo humano,15,50
42001176,Viaje y Recreacion,Turismo,1,1
41000767,Salud y Bienestar,Cita medica ocupacional,1,1
42003407,Cultura,Lectura,10,20
40001649,Viaje y Recreacion,Todo Parque,4,N/A
42000115,Educacion,Escenarios,N/A,N/A
42002696,Escuela Empresarial,Competencias organizacionales,16,20
42003394,Escuela Empresarial,Destrezas para el trabajo,15,25
42003416,Escuela Empresarial,Mercadeo y Ventas,15,25
40000681,Viaje y Recreacion,Escenarios,1,1
42000007,Salud y Bienestar,Cita medica ocupacional,N/A,N/A
42001022,Viaje y Recreacion,Aventura Empresarial,21,26
40004309,Salud y Bienestar,Peso Saludable,N/A,N/A
42003412,Escuela Empresarial,Gestion del talento humano,15,25
10000000,Salud y Bienestar,Vacunacion,N/A,N/A
40001407,Viaje y Recreacion,Programas Empresariales_Recreativos,N/A,N/A
40004890,Viaje y Recreacion,Escenarios,150,250
40004514,Educacion,Educacion,N/A,N/A
42002291,Educacion,Colegios,N/A,N/A
40004299,Viaje y Recreacion,Aventura Empresarial,1,1
42002456,Salud y Bienestar,Salud - ley 21 atencion empresas,24,N/A
42002587,Viaje y Recreacion,Celebraciones empresariales,18,20
40001914,Educacion,Actividades fisico deportivas,N/A,N/A
42000122,Viaje y Recreacion,Alimentacion,N/A,N/A
42000340,Salud y Bienestar,Capf Empresarial,N/A,N/A
42001024,Viaje y Recreacion,Jornada Lúdico Reflexiva,23,30
42002538,Educacion,Movimiento Consciente,25,30
42002550,Educacion,Tecnicas De Relajacion,25,30
42000023,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42000435,Viaje y Recreacion,Escenarios,1,1
42002013,Cultura,Lectura,10,30
40005002,Salud y Bienestar,Examenes de laboratorio,1,N/A
42002990,Escuela Empresarial,Destrezas para el trabajo,10,12
41000768,Salud y Bienestar,Cita medica ocupacional,1,1
40004071,Viaje y Recreacion,Conversaciones con sabor,1,1
41000107,Salud y Bienestar,Plan Capf,N/A,N/A
42002500,Salud y Bienestar,Examenes de laboratorio,1,N/A
42003026,Escuela Empresarial,Destrezas para el trabajo,15,25
41000102,Salud y Bienestar,Cita medica ocupacional,N/A,N/A
42000102,Escuela Empresarial,Curso desarrollo humano,20,25
42001325,Educacion,Educacion,N/A,N/A
42002630,Viaje y Recreacion,Jornadas recreativas,19,25
42002765,Escuela Empresarial,Competencias organizacionales,15,30
42002881,Cultura,Cultura - Conversatorio,25,60
42003037,Escuela Empresarial,Destrezas para el trabajo,15,25
42003448,Viaje y Recreacion,Torneos,16,16
40000033,Salud y Bienestar,Consulta Profesional Salud,N/A,N/A
40001422,Escuela Empresarial,Curso desarrollo humano,2,25
40004061,Viaje y Recreacion,Conversaciones con sabor,37,50
41000099,Salud y Bienestar,Escuela Osteomuscular O Cardiovascular,4,12
42000033,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42000724,Escuela Empresarial,Taller desarrollo humano,20,25
40004991,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
40005006,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
10000031,Salud y Bienestar,Vacunacion,N/A,N/A
40001677,Viaje y Recreacion,Vacaciones Recreativas,15,20
42001852,Salud y Bienestar,Asesoria Profesional salud,25,100
42002628,Viaje y Recreacion,Jornadas recreativas,19,25
42000066,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42000135,Viaje y Recreacion,Escenarios,1,1
42000525,Salud y Bienestar,Cita medica ocupacional,1,N/A
42000297,Salud y Bienestar,Cita medica ocupacional,N/A,N/A
42002673,Educacion,Arte Manual,15,25
42002722,Cultura,Lectura,N/A,N/A
42001634,Educacion,Tecnicas De Relajacion,25,30
40004633,Salud y Bienestar,Programa de vigilancia epidemiologica empresas,N/A,N/A
40001641,Viaje y Recreacion,Todo Parque,8,N/A
40004063,Viaje y Recreacion,Conversaciones con sabor,36,50
42000103,Educacion,Escenarios,N/A,N/A
40004491,Educacion,Educacion,N/A,N/A
42002133,Escuela Empresarial,Curso capitalismo consciente,10,25
42002691,Escuela Empresarial,Competencias organizacionales,17,20
10000034,Salud y Bienestar,Vacunacion,N/A,N/A
10000163,Salud y Bienestar,Vacunacion,N/A,N/A
40001902,Educacion,Actividades fisico deportivas,N/A,N/A
41000111,Servicios Financieros,Educacion Financiera,10,30
42000434,Viaje y Recreacion,Escenarios,1,1
42002505,Salud y Bienestar,Examenes de laboratorio,1,N/A
42002774,Escuela Empresarial,Competencias organizacionales,15,30
42003059,Escuela Empresarial,Destrezas para el trabajo,15,25
40001105,Viaje y Recreacion,Alimentacion,N/A,N/A
40001913,Educacion,Educacion,N/A,N/A
40003366,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
40004113,Escuela Empresarial,Conferencia desarrollo humano,25,50
